,date,open,high,low,close,volume,ma5,ma10,ma30,ma60,ma120,ha_open,ha_close,ha_high,ha_low,cci,dc_upper,dc_lower,dc_middle,dc_middle1,dc_middle2,lb,dc_dump_pct,dc_lower_diff,down_count,up_count,lt_middle_count,gt_middle_count,lt_cci,enter_tag,enter_long,enter_short
31,2024-05-01 11:00:00+00:00,57760.0,57912.0,57466.0,57886.7,5858.542,56991.5,58408.81,59931.78666666667,,,57550.4146084425,57756.175,57912.0,57466.0,-81.02613344876558,61074.3,56528.8,58801.55,59937.925,57665.175,937.1999999999971,0.07442574045056595,0.0,8.0,2.0,13.0,0.0,2.0,,1,0
120,2024-05-05 04:00:00+00:00,63244.1,63431.6,63235.8,63344.8,1758.914,63129.92,63376.65,63189.37666666667,61559.17333333333,60188.09,63283.405431632345,63314.075,63431.6,63235.8,-82.52428523282356,64539.1,62863.6,63701.35,64120.225,63282.475,372.20000000000437,0.02596100658360591,0.0,6.0,4.0,4.0,16.0,1.0,,1,0
122,2024-05-05 06:00:00+00:00,63221.5,63473.2,63168.0,63391.1,1431.097,63131.159999999996,63266.1,63214.76,61698.505,60187.956666666665,63296.557607908086,63313.450000000004,63473.2,63168.0,-56.20192529132557,64539.1,62863.6,63701.35,64120.225,63282.475,304.40000000000146,0.02596100658360591,0.0,7.0,3.0,6.0,14.0,1.0,,1,0
213,2024-05-09 01:00:00+00:00,61405.2,61575.0,61384.7,61561.9,2093.114,61171.08,61599.759999999995,62054.67333333333,62646.10833333333,63095.39000000001,61343.59414010541,61481.7,61575.0,61343.59414010541,-66.288153005013,62859.3,60892.4,61875.850000000006,62367.575000000004,61384.125,451.1941401054064,0.03129051707543675,0.0,7.0,3.0,18.0,2.0,3.0,,1,0
399,2024-05-16 19:00:00+00:00,65122.9,65581.0,65088.2,65180.1,4077.191,64998.86,65431.490000000005,65488.41,63598.21666666667,62608.90083333333,65202.562345435785,65243.049999999996,65581.0,65088.2,-93.58837113102362,66799.0,64600.0,65699.5,66249.25,65149.75,488.1999999999971,0.0329196544858456,0.0,6.0,4.0,5.0,15.0,1.0,,1,0
401,2024-05-16 21:00:00+00:00,65271.8,65511.9,65244.8,65463.4,1379.573,64958.840000000004,65249.33,65552.69666666667,63711.925,62681.209166666675,65210.09058635894,65372.975,65511.9,65210.09058635894,-49.578086755089444,66799.0,64600.0,65699.5,66249.25,65149.75,610.0905863589433,0.0329196544858456,0.0,7.0,3.0,7.0,13.0,1.0,,1,0
474,2024-05-19 22:00:00+00:00,66292.5,66463.9,66250.0,66359.1,1551.743,66133.5,66396.89,66743.61666666667,66698.91333333333,65652.86166666666,66260.93398658733,66341.375,66463.9,66250.0,-80.64648357439386,67794.0,65887.0,66840.5,67317.25,66363.75,363.0,0.028129332979319705,0.0,9.0,1.0,12.0,8.0,1.0,,1,0
476,2024-05-20 00:00:00+00:00,66272.3,66507.2,66150.0,66463.1,2391.968,66121.28,66282.38,66704.05333333333,66699.84666666666,65731.97583333333,66299.97724664683,66348.15,66507.2,66150.0,-53.69403308995707,67794.0,65887.0,66840.5,67317.25,66363.75,263.0,0.028129332979319705,0.0,8.0,2.0,14.0,6.0,1.0,,1,0
705,2024-05-29 13:00:00+00:00,67913.4,68290.8,67600.2,67904.3,9493.828,67690.28,67985.54000000001,68015.14666666667,68372.475,68567.44333333333,67888.39133124112,67927.175,68290.8,67600.2,-65.56833783079982,68953.6,67250.0,68101.8,68527.70000000001,67675.9,350.1999999999971,0.024706469277891302,0.0,8.0,2.0,9.0,11.0,1.0,,1,0
751,2024-05-31 11:00:00+00:00,68343.8,68475.5,68281.7,68362.2,2405.708,68060.08,68220.05,68122.7,67953.82333333333,68228.74833333334,68147.44813586699,68365.8,68475.5,68147.44813586699,6.8801837963988,69523.9,67873.5,68698.7,69111.29999999999,68286.1,273.9481358669873,0.023738599244288575,0.0,6.0,4.0,7.0,13.0,1.0,,1,0
759,2024-05-31 19:00:00+00:00,67424.0,68026.2,67354.5,67691.9,5141.824,67106.62,67537.29000000001,68060.28666666667,67814.4,68133.87666666666,67353.21659428073,67624.15,68026.2,67353.21659428073,-33.1183756631799,69062.8,66639.0,67850.9,68456.85,67244.95,714.2165942807333,0.03509559415488516,0.0,7.0,3.0,15.0,5.0,2.0,,1,0
799,2024-06-02 11:00:00+00:00,67548.0,68345.0,67504.2,68266.0,5492.914,67537.26,67621.94,67650.31,67712.08,67799.015,67605.7509030487,67915.8,68345.0,67504.2,246.806569343069,68345.0,67380.0,67862.5,68103.75,67621.25,124.19999999999709,0.014119540566244787,0.0,8.0,2.0,2.0,18.0,2.0,,1,0
